species_no,month,sunrise,dewpoint,wetbulb,trap_T900,tmin,tavg,cool,station,depart,sunset,tmax,heat,resultspeed,long_lat,year,avgspeed,trap_T003,trap_T086,trap_T225,trap_T143,trap_T115,trap_T002,trap_T223,trap_T046,trap_T006,trap_T233,trap_T013,trap_T235,trap_T017,trap_T014,trap_T230,trap_T148,trap_T200,trap_T018,trap_T043,trap_T103,trap_T015,trap_T096
2.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3655.0950520457163,2007,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3655.0950520457163,2007,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3669.1821707871195,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3657.500444859872,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3658.9510919380637,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3658.9510919380637,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3670.14689901656,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3670.14689901656,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3687.3381000454656,2007,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5,421,58,65.0,0,60,74,9,1,10,1917,88,0,5.8,-3684.41469581367,2007,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3677.85205537347,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5,421,59,66.0,0,65,77,12,2,10,1917,88,0,5.8,-3657.881107191728,2007,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3683.66335909779,2007,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3683.66335909779,2007,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3683.66335909779,2007,7.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3686.554941852228,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3684.1337379430465,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3686.3664752962677,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3686.3664752962677,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3689.1019532811056,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3678.93536241231,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3683.717949779934,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3681.8237813935384,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3668.6422583971685,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3675.272120998978,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3675.1180599279996,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3675.1180599279996,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3675.1180599279996,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3671.9446257109375,2007,8.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3669.828862864192,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3669.828862864192,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3669.828862864192,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3672.428318647424,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3676.0857221518368,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3676.0857221518368,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3673.7092002470254,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3655.0950520457163,2007,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3657.0367900541496,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3670.444561419377,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3670.444561419377,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3668.897279062176,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3657.500444859872,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3658.9510919380637,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3658.9510919380637,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3658.9510919380637,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3654.783846640512,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3654.783846640512,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3654.783846640512,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3682.56550300201,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3682.56550300201,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3682.5056358210636,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3682.5056358210636,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3687.3381000454656,2007,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3687.3381000454656,2007,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3669.7706704409716,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3679.848409247825,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3679.848409247825,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3677.449549854998,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3681.560021752184,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3682.989879452502,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3680.2696538764753,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3680.2696538764753,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3670.581906062775,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3677.85205537347,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3678.4639924139456,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3655.8952151661506,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3655.8952151661506,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3657.881107191728,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,47,52.0,0,51,57,0,2,-9,1923,63,8,6.2,-3655.7502116213864,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3680.141970730566,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3680.141970730566,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,417,48,51.0,0,47,56,0,1,-9,1923,64,9,5.2,-3679.89701023656,2007,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3680.7652636736702,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3683.66335909779,2007,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3683.66335909779,2007,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3683.66335909779,2007,7.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3682.6828003446376,2007,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3686.626297114068,2007,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3686.626297114068,2007,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3685.870081681489,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3685.870081681489,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3687.402467635194,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3684.1337379430465,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3684.1337379430465,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3684.6266654944766,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3686.3664752962677,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3689.1019532811056,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3689.1019532811056,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3678.93536241231,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3683.717949779934,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3681.8237813935384,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3681.8237813935384,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3675.272120998978,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3675.272120998978,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3669.148338173793,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3680.47728052686,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.309904090324,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.309904090324,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3670.684491673382,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3675.1180599279996,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3675.1180599279996,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.9446257109375,2007,8.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.9446257109375,2007,8.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.679843362198,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.679843362198,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3669.828862864192,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3672.428318647424,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3676.0857221518368,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3668.1159883043792,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3656.8064233263362,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3655.0950520457163,2007,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3655.0950520457163,2007,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3671.765475120351,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3670.444561419377,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3670.444561419377,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3670.444561419377,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3658.9510919380637,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3670.14689901656,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3670.14689901656,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3654.783846640512,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3654.783846640512,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,73,82,17,2,10,1931,91,0,7.3,-3654.783846640512,2007,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3682.56550300201,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3682.56550300201,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6,418,69,72.0,0,70,81,16,1,10,1931,92,0,6.1,-3682.5056358210636,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
